,Unnamed: 0,Antena,Ano,Mes,Dia,Latitud,Longitud,Temp_max_emas,Temp_min_emas,Temp_max_merra,Temp_min_merra,Temp_mean_merra,Temp_mean_emas
0,0,1003,2019,3,1,21.88,-102.72,28.54462,8.47449,28.54462,8.47449,17.70834,17.70834
7,7,1004,2019,3,1,22.0,-102.2,27.94733,8.61169,27.94733,8.61169,17.2453,17.2453
14,14,1005,2019,3,1,21.78,-102.37,28.54199,8.86298,28.54199,8.86298,17.86432,17.86432
21,21,1007,2019,3,1,21.96,-102.35,28.22089,8.2475,28.22089,8.2475,17.34335,17.34335
28,28,1008,2019,3,1,22.2,-102.14,27.71164,8.61972,27.71164,8.61972,17.14053,17.14053
35,35,1009,2019,3,1,21.96,-102.7,28.41757,8.24878,28.41757,8.24878,17.52078,17.52078
42,42,1010,2019,3,1,22.16,-102.55,27.86832,7.76813,27.86832,7.76813,16.9931,16.9931
49,49,1011,2019,3,1,21.86,-102.66,28.53052,8.47824,28.53052,8.47824,17.69769,17.69769
56,56,1012,2019,3,1,21.79,-102.8,28.84561,8.88815,28.84561,8.88815,18.09189,18.09189
63,63,1013,2019,3,1,22.31,-102.17,27.5903,8.37244,27.5903,8.37244,17.04044,17.04044
70,70,1014,2019,3,1,22.17,-102.29,27.78955,8.07394,27.78955,8.07394,17.02344,17.02344
77,77,1015,2019,3,1,21.92,-101.97,27.642,9.40564,27.642,9.40564,17.31281,17.31281
84,84,1016,2019,3,1,21.71,-102.28,28.509,9.36191,28.509,9.36191,18.05621,18.05621
91,91,1017,2019,3,1,22.23,-102.44,27.64996,7.72372,27.64996,7.72372,16.85638,16.85638
98,98,1018,2019,3,1,22.14,-102.42,27.88303,7.83017,27.88303,7.83017,17.00742,17.00742
105,105,1019,2019,3,1,22.13,-102.36,27.89139,7.93277,27.89139,7.93277,17.03769,17.03769
112,112,1020,2019,3,1,22.0,-102.67,28.36148,8.14023,28.36148,8.14023,17.43115,17.43115
119,119,1021,2019,3,1,22.12,-102.51,27.95428,7.78513,27.95428,7.78513,17.04025,17.04025
126,126,1022,2019,3,1,21.75,-102.17,28.11823,9.47174,28.11823,9.47174,17.78922,17.78922
133,133,1023,2019,3,1,21.84,-102.71,28.61191,8.59882,28.61191,8.59882,17.80811,17.80811
140,140,1024,2019,3,1,21.78,-102.1,27.89139,9.54401,27.89139,9.54401,17.62894,17.62894
147,147,1025,2019,3,1,22.08,-102.27,27.92139,8.22211,27.92139,8.22211,17.12341,17.12341
154,154,1026,2019,3,1,22.22,-102.17,27.69315,8.4776,27.69315,8.4776,17.09659,17.09659
161,161,1027,2019,3,1,21.88,-102.46,28.41763,8.36111,28.41763,8.36111,17.55719,17.55719
168,168,1028,2019,3,1,22.1,-102.07,27.7196,8.94162,27.7196,8.94162,17.20084,17.20084
175,175,1029,2019,3,1,22.24,-102.09,27.68896,8.75171,27.68896,8.75171,17.18243,17.18243
182,182,1030,2019,3,1,21.9,-102.31,28.23715,8.47845,28.23715,8.47845,17.44955,17.44955
189,189,1031,2019,3,1,22.02,-102.0,27.66245,9.13406,27.66245,9.13406,17.20102,17.20102
196,196,1032,2019,3,1,22.04,-101.89,27.61862,9.24231,27.61862,9.24231,17.20822,17.20822
203,203,1033,2019,3,1,21.9,-101.99,27.6604,9.41635,27.6604,9.41635,17.3396,17.3396
210,210,1034,2019,3,1,21.89,-102.11,27.82672,9.1438,27.82672,9.1438,17.37189,17.37189
217,217,1035,2019,3,1,21.91,-102.13,27.85425,9.02582,27.85425,9.02582,17.34225,17.34225
224,224,1045,2019,3,1,22.08,-102.09,27.73923,8.89386,27.73923,8.89386,17.19415,17.19415
231,231,1047,2019,3,1,21.97,-102.58,28.34244,8.10703,28.34244,8.10703,17.39789,17.39789
238,238,1057,2019,3,1,21.87,-102.47,28.43909,8.39371,28.43909,8.39371,17.58813,17.58813
245,245,1062,2019,3,1,21.8,-102.27,28.31976,8.95856,28.31976,8.95856,17.72314,17.72314
252,252,1063,2019,3,1,21.73,-102.28,28.47296,9.26645,28.47296,9.26645,17.98465,17.98465
259,259,1073,2019,3,1,21.81,-102.13,27.93491,9.34384,27.93491,9.34384,17.569,17.569
266,266,1074,2019,3,1,21.73,-102.45,28.71893,9.04086,28.71893,9.04086,18.07996,18.07996
273,273,1075,2019,3,1,21.76,-102.3,28.4631,9.077,28.4631,9.077,17.89273,17.89273
280,280,1076,2019,3,1,21.87,-102.35,28.34265,8.50275,28.34265,8.50275,17.5498,17.5498
287,287,1077,2019,3,1,21.78,-102.52,28.64551,8.77423,28.64551,8.77423,17.91016,17.91016
294,294,1078,2019,3,1,21.89,-102.83,28.66699,8.63647,28.66699,8.63647,17.8714,17.8714
301,301,1079,2019,3,1,21.73,-102.27,28.44717,9.2897,28.44717,9.2897,17.97449,17.97449
308,308,1080,2019,3,1,21.84,-102.52,28.52032,8.5015,28.52032,8.5015,17.69934,17.69934
315,315,1081,2019,3,1,22.09,-101.97,27.65936,9.14703,27.65936,9.14703,17.21906,17.21906
322,322,1082,2019,3,1,22.23,-102.32,27.65881,7.92175,27.65881,7.92175,16.91876,16.91876
329,329,1084,2019,3,1,22.21,-102.02,27.69748,8.9671,27.69748,8.9671,17.23666,17.23666
336,336,1085,2019,3,1,22.09,-102.18,27.82501,8.5596,27.82501,8.5596,17.15732,17.15732
343,343,1088,2019,3,1,22.36,-102.3,27.38263,7.85443,27.38263,7.85443,16.77087,16.77087
350,350,1091,2019,3,1,21.74,-102.72,28.86395,9.02423,28.86395,9.02423,18.16519,18.16519
357,357,1094,2019,3,1,22.29,-102.24,27.56104,8.11603,27.56104,8.11603,16.9375,16.9375
364,364,1095,2019,3,1,21.94,-102.55,28.36725,8.16321,28.36725,8.16321,17.43973,17.43973
371,371,1096,2019,3,1,21.84,-102.18,28.02954,9.0679,28.02954,9.0679,17.52322,17.52322
378,378,1097,2019,3,1,21.91,-102.27,28.15259,8.55069,28.15259,8.55069,17.40558,17.40558
385,385,1099,2019,3,1,21.98,-102.06,27.71738,9.11877,27.71738,9.11877,17.24704,17.24704
392,392,1101,2019,3,1,21.91,-102.09,27.78058,9.15659,27.78058,9.15659,17.33258,17.33258
399,399,1102,2019,3,1,22.15,-102.28,27.82373,8.12704,27.82373,8.12704,17.05347,17.05347
406,406,1103,2019,3,1,22.18,-102.59,27.83475,7.77429,27.83475,7.77429,16.98264,16.98264
413,413,1105,2019,3,1,21.99,-102.35,28.19379,8.19293,28.19379,8.19293,17.29858,17.29858
420,420,1106,2019,3,1,21.96,-102.48,28.31238,8.11414,28.31238,8.11414,17.37195,17.37195
427,427,2001,2019,3,1,32.11,-116.45,20.85495,8.60925,20.85495,8.60925,12.93161,12.93161
434,434,2002,2019,3,1,28.6,-113.56,26.38074,11.31824,26.38074,11.31824,18.13007,18.13007
441,441,2004,2019,3,1,32.2,-116.49,20.70081,9.11392,20.70081,9.11392,13.17126,13.17126
448,448,2005,2019,3,1,32.02,-116.78,18.95416,12.07434,18.95416,12.07434,14.51703,14.51703
455,455,2006,2019,3,1,29.49,-114.36,27.16632,12.21939,27.16632,12.21939,18.47394,18.47394
462,462,2007,2019,3,1,32.44,-115.39,29.17236,12.36389,29.17236,12.36389,19.08026,19.08026
469,469,2008,2019,3,1,30.72,-115.98,20.87573,12.20657,20.87573,12.20657,15.31979,15.31979
476,476,2009,2019,3,1,32.3,-115.02,27.72556,12.76663,27.72556,12.76663,19.0484,19.0484
483,483,2010,2019,3,1,31.78,-115.77,26.84937,9.75177,26.84937,9.75177,16.34781,16.34781
490,490,2011,2019,3,1,32.35,-115.19,28.10901,12.57367,28.10901,12.57367,18.98087,18.98087
497,497,2012,2019,3,1,28.3,-114.03,23.46844,12.39743,23.46844,12.39743,17.37378,17.37378
504,504,2013,2019,3,1,30.67,-115.13,27.14795,11.46021,27.14795,11.46021,18.06796,18.06796
511,511,2014,2019,3,1,31.59,-116.05,22.52115,9.23517,22.52115,9.23517,14.06857,14.06857
518,518,2015,2019,3,1,28.03,-113.4,28.4834,11.6944,28.4834,11.6944,18.96609,18.96609
525,525,2016,2019,3,1,28.3,-112.88,25.58923,13.81079,25.58923,13.81079,18.9259,18.9259
532,532,2017,2019,3,1,32.33,-117.05,18.38541,12.18582,18.38541,12.18582,14.38391,14.38391
539,539,2019,2019,3,1,32.34,-116.25,21.8707,8.30252,21.8707,8.30252,12.97601,12.97601
546,546,2020,2019,3,1,32.13,-115.28,28.29553,12.43726,28.29553,12.43726,18.92831,18.92831
553,553,2021,2019,3,1,32.18,-116.29,21.478,7.79691,21.478,7.79691,12.58798,12.58798
560,560,2022,2019,3,1,30.06,-115.72,22.26578,12.23959,22.26578,12.23959,15.92456,15.92456
567,567,2023,2019,3,1,30.32,-115.82,23.30682,12.14639,23.30682,12.14639,16.02216,16.02216
574,574,2024,2019,3,1,32.3,-116.53,20.51355,9.63397,20.51355,9.63397,13.40454,13.40454
581,581,2025,2019,3,1,31.86,-116.61,19.43719,10.97858,19.43719,10.97858,14.00793,14.00793
588,588,2027,2019,3,1,28.14,-115.18,17.24808,16.08618,17.24808,16.08618,16.5928,16.5928
595,595,2029,2019,3,1,30.97,-116.16,19.5069,12.41064,19.5069,12.41064,15.04108,15.04108
602,602,2032,2019,3,1,30.58,-115.94,21.6756,12.59787,21.6756,12.59787,15.7659,15.7659
609,609,2035,2019,3,1,31.91,-116.27,21.35022,7.71265,21.35022,7.71265,12.5506,12.5506
616,616,2036,2019,3,1,32.05,-116.68,19.35355,11.2955,19.35355,11.2955,14.15479,14.15479
623,623,2039,2019,3,1,29.16,-114.15,26.13141,11.58261,26.13141,11.58261,18.14334,18.14334
630,630,2040,2019,3,1,28.23,-113.76,26.28513,11.24356,26.28513,11.24356,17.94559,17.94559
637,637,2041,2019,3,1,28.63,-114.02,24.24435,11.91867,24.24435,11.91867,17.52377,17.52377
644,644,2042,2019,3,1,32.29,-117.0,18.55847,12.11328,18.55847,12.11328,14.39304,14.39304
651,651,2043,2019,3,1,29.94,-114.97,27.69159,12.09363,27.69159,12.09363,17.87671,17.87671
658,658,2044,2019,3,1,28.74,-113.75,27.12067,10.89749,27.12067,10.89749,18.25781,18.25781
665,665,2045,2019,3,1,31.79,-116.46,20.53329,9.45071,20.53329,9.45071,13.38879,13.38879
672,672,2047,2019,3,1,29.98,-115.23,26.16653,11.95105,26.16653,11.95105,17.22852,17.22852
679,679,2048,2019,3,1,31.07,-115.58,24.44537,7.78058,24.44537,7.78058,14.00024,14.00024
686,686,2049,2019,3,1,32.13,-116.17,22.03491,7.73151,22.03491,7.73151,12.80789,12.80789
693,693,2050,2019,3,1,30.18,-115.14,27.21518,11.75372,27.21518,11.75372,17.69107,17.69107
700,700,2051,2019,3,1,29.73,-114.71,26.73358,13.10315,26.73358,13.10315,18.32269,18.32269
707,707,2053,2019,3,1,28.58,-113.95,24.99036,11.51419,24.99036,11.51419,17.63574,17.63574
